Altium Designer Pick and Place Locations
Y:\XFC\Schematics and PCB\Hbridge_Sensing_GateDriver-Interface_Rev4\Project Outputs for Hbridge_Sensing_GateDriver-Interface\Pick Place\Pick_Place_for_Hbridge_Sensing_GateDriver_Interface.csv

========================================================================================================================
File Design Information:

Date:       21/11/25
Time:       09:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)"
"DL11","TopLayer","LED0603","103.8606mm","58.5694mm"
"DL12","TopLayer","LED0603","56.2744mm","58.3948mm"
"DL13","TopLayer","LED0603","146.7496mm","57.5568mm"
"DL16","TopLayer","LED0603","149.0872mm","45.2378mm"
"F1","TopLayer","SS","16.4084mm","131.4704mm"
"Fault","TopLayer","TP-L","58.6868mm","17.3608mm"
"GND","TopLayer","GROUND","43.0276mm","49.9364mm"
"H1","TopLayer","MOLEX-3PIN","27.1018mm","150.7744mm"
"H2","TopLayer","MOLEX-3PIN","181.5588mm","76.3016mm"
"H3","TopLayer","MOLEX-3PIN","196.6468mm","156.7434mm"
"Iac","TopLayer","TP-L","215.7984mm","9.3726mm"
"Iac - limit","TopLayer","TP-L","199.7202mm","19.1262mm"
"Iac + limit","TopLayer","TP-L","199.7456mm","6.5950mm"
"IC1","TopLayer","AFBR1634Z","48.2600mm","21.7930mm"
"IC2","TopLayer","AFBR1634Z","192.5171mm","29.2076mm"
"IC3","BottomLayer","21-0061L_MXM","196.8152mm","77.6415mm"
"Idc","TopLayer","TP-L","208.2292mm","78.5114mm"
"Idc - limit","TopLayer","TP-L","213.5886mm","79.2693mm"
"Idc + limit","TopLayer","TP-L","213.1060mm","57.3264mm"
"J1","TopLayer","1-PIN_TH","8.3566mm","32.7914mm"
"J2","TopLayer","1-PIN_TH","221.7166mm","79.2760mm"
"J3","TopLayer","1-PIN_TH","171.3484mm","49.5300mm"
"J3","TopLayer","CONN_94152-088LF_AMP","215.0364mm","94.0054mm"
"J4","TopLayer","1-PIN_TH","188.3918mm","60.0456mm"
"J4","TopLayer","CONN_142-0701-201_CIN","208.8896mm","12.6746mm"
"J5","TopLayer","1-PIN_TH","44.2468mm","42.5958mm"
"J6","TopLayer","1-PIN_TH","206.0194mm","75.5396mm"
"J6","TopLayer","*SULLINS_SFH11-PBPC-D08-ST-BK","81.4582mm","10.7950mm"
"J7","TopLayer","1-PIN_TH","99.6442mm","10.5410mm"
"J7","TopLayer","*SULLINS_SFH11-PBPC-D08-ST-BK","145.2882mm","10.9982mm"
"J8","TopLayer","1-PIN_TH","167.1828mm","9.9568mm"
"J9","TopLayer","1-PIN_TH","25.6286mm","12.1158mm"
"J10","TopLayer","1-PIN_TH","212.2932mm","19.3294mm"
"J10","TopLayer","634106149621","171.0944mm","27.1280mm"
"L1","BottomLayer","0805","47.0408mm","12.1156mm"
"L2","BottomLayer","0805","139.7101mm","21.1070mm"
"L3","BottomLayer","0805","192.6187mm","39.5200mm"
"L4","BottomLayer","0805","139.6845mm","31.2164mm"
"L5","BottomLayer","0805","203.1934mm","49.0728mm"
"L7","BottomLayer","0805","203.3966mm","39.1412mm"
"L8","TopLayer","TCK051","25.0952mm","131.5212mm"
"L9","BottomLayer","TCK141","129.2098mm","61.5696mm"
"L10","BottomLayer","TCK141","73.5330mm","57.8612mm"
"L11","BottomLayer","0805","70.3072mm","21.0060mm"
"L12","BottomLayer","0805","70.0974mm","32.2580mm"
"L13","BottomLayer","0805","100.8382mm","19.9646mm"
"L14","BottomLayer","0805","100.8382mm","17.8818mm"
"L15","BottomLayer","0805","100.8886mm","25.4000mm"
"L16","BottomLayer","0805","100.8886mm","27.3558mm"
"L17","BottomLayer","0805","126.8996mm","25.6792mm"
"L18","BottomLayer","0805","126.8742mm","27.6858mm"
"L19","BottomLayer","0805","126.8744mm","18.1704mm"
"L20","BottomLayer","0805","126.8742mm","20.1770mm"
"L21","BottomLayer","0805","203.4154mm","28.2956mm"
"L200","BottomLayer","0805","13.3284mm","26.7466mm"
"PS1","TopLayer","T6_SIP8","121.5390mm","58.0644mm"
"PS2","TopLayer","TSR2-SINGLE_TRP","157.7594mm","59.1312mm"
"PS3","TopLayer","CONV_TSR_2-2450","67.4114mm","58.9788mm"
"R1","TopLayer","0603","194.2846mm","88.2650mm"
"R2","TopLayer","2010","190.3476mm","147.1930mm"
"R3","TopLayer","2010","190.3476mm","139.2936mm"
"R4","TopLayer","2010","190.3476mm","131.5806mm"
"R5","TopLayer","2010","190.3476mm","123.7996mm"
"R6","TopLayer","0603","193.2940mm","94.7674mm"
"R7","TopLayer","0805","194.3102mm","86.2076mm"
"R8","TopLayer","0603","191.5668mm","94.7674mm"
"R9","TopLayer","0603","189.7888mm","118.1354mm"
"R10","TopLayer","0805","190.4238mm","86.2076mm"
"R11","TopLayer","0603","190.4112mm","88.2904mm"
"R12","TopLayer","0603","186.2582mm","118.1608mm"
"R13","TopLayer","0603","203.0984mm","88.2650mm"
"R14","TopLayer","0603","176.8856mm","57.6580mm"
"R15","TopLayer","0603","202.7174mm","94.7674mm"
"R16","TopLayer","0805","203.0984mm","86.2076mm"
"R17","TopLayer","0603","90.0168mm","58.5694mm"
"R18","TopLayer","0603","199.8980mm","94.7928mm"
"R19","TopLayer","0805","199.3392mm","86.2076mm"
"R20","TopLayer","0603","199.3138mm","88.2904mm"
"R21","TopLayer","0805","195.9056mm","10.1346mm"
"R22","TopLayer","0603","203.1746mm","10.9094mm"
"R23","TopLayer","0603","208.8134mm","17.9070mm"
"R24","BottomLayer","0603","198.2978mm","12.6746mm"
"R25","TopLayer","0603","187.9346mm","14.0462mm"
"R26","TopLayer","0805","195.9102mm","14.6431mm"
"R27","TopLayer","0603","203.0783mm","71.5228mm"
"R28","TopLayer","0805","211.2010mm","67.2338mm"
"R29","BottomLayer","0603","211.4042mm","73.2790mm"
"R30","TopLayer","0603","198.4248mm","64.5795mm"
"R31","BottomLayer","0603","211.0486mm","60.7568mm"
"R32","TopLayer","0805","211.1756mm","69.3166mm"
"R33","TopLayer","0603","194.5894mm","67.6402mm"
"R34","TopLayer","0603","190.4956mm","69.6468mm"
"R35","TopLayer","0603","100.4690mm","58.5694mm"
"R36","BottomLayer","0603","196.6712mm","72.1868mm"
"R37","TopLayer","0603","189.4712mm","64.7008mm"
"R38","TopLayer","0603","193.7512mm","61.9252mm"
"R39","BottomLayer","0603","52.0700mm","21.7424mm"
"R40","BottomLayer","0603","188.4426mm","29.1592mm"
"R41","BottomLayer","0603","110.2106mm","34.6074mm"
"R42","TopLayer","0603","92.7100mm","21.1074mm"
"R43","TopLayer","0603","92.7100mm","24.4856mm"
"R44","BottomLayer","0603","77.5716mm","16.1164mm"
"R45","TopLayer","0603","53.3020mm","45.1467mm"
"R46","TopLayer","0603","89.8917mm","30.7958mm"
"R47","BottomLayer","0805","95.6060mm","19.9646mm"
"R48","TopLayer","0603","93.0669mm","30.7929mm"
"R49","BottomLayer","0805","103.7592mm","19.0250mm"
"R50","BottomLayer","0805","95.6058mm","17.8818mm"
"R51","TopLayer","0603","89.8917mm","35.2180mm"
"R52","BottomLayer","0805","95.6056mm","25.2984mm"
"R53","TopLayer","0603","93.0669mm","35.2279mm"
"R54","BottomLayer","0805","103.7588mm","26.3398mm"
"R55","BottomLayer","0805","95.6054mm","27.3812mm"
"R56","TopLayer","RES_SMF5_TYCO","203.0329mm","137.0385mm"
"R57","TopLayer","RES_SMF5_TYCO","203.0476mm","115.6321mm"
"R58","TopLayer","RES_SMF5_TYCO","218.5670mm","115.6716mm"
"R59","TopLayer","RES_SMF5_TYCO","218.5523mm","137.1402mm"
"R60","TopLayer","0603","135.4374mm","31.8996mm"
"R61","TopLayer","0603","53.3020mm","52.7304mm"
"R62","TopLayer","0603","132.2368mm","31.8996mm"
"R63","TopLayer","0603","135.3104mm","36.0268mm"
"R64","TopLayer","0603","121.9200mm","20.9804mm"
"R65","TopLayer","0603","121.9200mm","24.0814mm"
"R66","TopLayer","0603","132.1098mm","36.0268mm"
"R67","BottomLayer","0805","132.0304mm","25.6792mm"
"R68","BottomLayer","0805","124.0802mm","26.6444mm"
"R69","BottomLayer","0805","132.0556mm","27.7112mm"
"R70","BottomLayer","0805","132.0562mm","18.1196mm"
"R71","BottomLayer","0805","124.0548mm","19.1864mm"
"R72","BottomLayer","0603","143.5290mm","7.0612mm"
"R73","BottomLayer","0805","132.0556mm","20.1516mm"
"R74","BottomLayer","0603","136.2726mm","48.9118mm"
"R75","BottomLayer","0603","126.6164mm","48.8060mm"
"R76","BottomLayer","0603","140.0810mm","48.8950mm"
"R77","BottomLayer","0603","130.6322mm","48.7172mm"
"R78","BottomLayer","0603","80.5586mm","49.1112mm"
"R79","BottomLayer","0603","116.9136mm","49.0346mm"
"R80","BottomLayer","0603","84.7316mm","49.1784mm"
"R81","BottomLayer","0603","120.8328mm","48.9754mm"
"R82","BottomLayer","0603","107.9526mm","48.9716mm"
"R83","BottomLayer","0603","89.5119mm","49.1997mm"
"R84","BottomLayer","0603","111.5722mm","49.0470mm"
"R85","BottomLayer","0603","93.0402mm","49.1490mm"
"R86","BottomLayer","0603","98.8060mm","49.1870mm"
"R87","BottomLayer","0603","102.7432mm","49.1429mm"
"R88","TopLayer","0603","52.8194mm","58.3948mm"
"R89","TopLayer","0603","53.3020mm","49.6969mm"
"R90","TopLayer","0603","53.3020mm","46.6634mm"
"R91","TopLayer","0603","53.3020mm","43.6299mm"
"R92","TopLayer","0603","53.3020mm","48.1802mm"
"R93","TopLayer","0603","60.4904mm","43.6299mm"
"R94","TopLayer","0603","60.4904mm","45.1467mm"
"R95","TopLayer","0603","60.4904mm","46.6634mm"
"R96","TopLayer","0603","60.4904mm","48.1802mm"
"R97","TopLayer","0603","60.4904mm","51.2136mm"
"R98","TopLayer","0603","53.3020mm","51.2136mm"
"R99","TopLayer","0603","60.4904mm","49.6969mm"
"R100","TopLayer","0603","60.4904mm","52.7304mm"
"R101","TopLayer","0603","143.4222mm","57.5818mm"
"R102","BottomLayer","0603","115.3668mm","34.6836mm"
"R103","TopLayer","0603","217.3732mm","79.4004mm"
"R104","TopLayer","0603","187.9346mm","10.8966mm"
"R105","TopLayer","0603","199.9996mm","64.5795mm"
"R106","BottomLayer","0603","111.8108mm","25.9842mm"
"R107","TopLayer","0603","107.2388mm","36.0934mm"
"R108","BottomLayer","0603","109.8296mm","31.0134mm"
"R109","BottomLayer","0603","106.3244mm","21.8438mm"
"R110","BottomLayer","0603","112.7252mm","20.7518mm"
"R111","BottomLayer","0603","106.3244mm","18.5037mm"
"R112","BottomLayer","0603","98.6282mm","30.9118mm"
"R113","BottomLayer","0603","101.0158mm","30.9118mm"
"R114","BottomLayer","0603","101.0412mm","34.7980mm"
"R115","BottomLayer","0603","101.0158mm","37.6682mm"
"R116","BottomLayer","0603","126.9746mm","31.3814mm"
"R117","BottomLayer","0603","124.9934mm","31.3814mm"
"R118","BottomLayer","0603","124.6380mm","35.6362mm"
"R119","BottomLayer","0603","124.5490mm","38.8620mm"
"R120","TopLayer","0603","118.6688mm","36.0934mm"
"R121","TopLayer","0603","136.3362mm","45.0126mm"
"R122","TopLayer","0603","126.5910mm","44.9832mm"
"R123","TopLayer","0603","80.7364mm","45.2378mm"
"R124","TopLayer","0603","117.0406mm","45.0342mm"
"R125","TopLayer","0603","107.9526mm","45.0346mm"
"R126","TopLayer","0603","89.6235mm","45.2243mm"
"R127","TopLayer","0603","99.0346mm","45.1486mm"
"R128","BottomLayer","0603","115.6462mm","31.1912mm"
"R129","BottomLayer","0603","121.2448mm","23.3392mm"
"R130","BottomLayer","0603","121.2448mm","26.7970mm"
"R131","TopLayer","0603","16.6812mm","43.5750mm"
"R132","BottomLayer","0603","32.5628mm","151.0792mm"
"R133","BottomLayer","0603","32.5120mm","145.9230mm"
"R136","BottomLayer","0603","146.1796mm","48.8700mm"
"R137","BottomLayer","0603","150.0124mm","48.8822mm"
"R138","TopLayer","0603","146.1034mm","45.1870mm"
"R139","TopLayer","0603","60.4904mm","42.1132mm"
"R140","TopLayer","0603","53.3020mm","42.1132mm"
"RST High","TopLayer","TP-L","16.5100mm","37.3126mm"
"RST Low","TopLayer","TP-L","153.2382mm","47.1170mm"
"SCLK","TopLayer","TP-L","223.5708mm","45.4152mm"
"SW1","TopLayer","C&K_JS102011SCQN_0","23.3934mm","43.4848mm"
"SW2","TopLayer","C&K_JS102011SCQN_0","193.2946mm","47.9526mm"
"U1","TopLayer","DGN0008D_No-Pad","192.3542mm","98.3488mm"
"U2","TopLayer","DGN0008D_N","192.3542mm","91.0619mm"
"U3","TopLayer","RM_10","192.3034mm","77.7240mm"
"U4","TopLayer","DGN0008D_No-Pad","201.3122mm","98.4348mm"
"U5","TopLayer","DGN0008D_N","201.3122mm","91.0619mm"
"U6","TopLayer","RM_10","201.4474mm","77.6732mm"
"U7","TopLayer","DGK8","191.0185mm","12.4714mm"
"U8","TopLayer","DGK8","203.0074mm","64.8462mm"
"U9","TopLayer","DGK8","193.7766mm","64.7192mm"
"U10","TopLayer","DGK8","112.7252mm","26.8732mm"
"U12","TopLayer","SO-G14","101.0323mm","33.5788mm"
"U13","TopLayer","SO-G14","125.0785mm","33.5788mm"
"U14","TopLayer","AFBR-2644Z","213.8614mm","48.8950mm"
"U16","TopLayer","AFBR-2644Z","213.8614mm","38.6840mm"
"U17","TopLayer","AFBR-2644Z","79.8068mm","23.6730mm"
"U18","TopLayer","AFBR-2644Z","79.8068mm","33.8582mm"
"U19","TopLayer","NS16","99.2124mm","22.6314mm"
"U20","TopLayer","DBV6","107.1526mm","29.7688mm"
"U21","TopLayer","AFBR-2644Z","150.1968mm","23.6978mm"
"U22","TopLayer","AFBR-2644Z","150.1968mm","33.9088mm"
"U23","TopLayer","NS16","128.3208mm","22.8092mm"
"U24","TopLayer","DBV6","118.9736mm","29.7942mm"
"U25","TopLayer","AFBR-2644Z","213.8614mm","28.4734mm"
"U26","TopLayer","DBV6","196.6468mm","56.3372mm"
"U27","TopLayer","DCU8","137.8982mm","49.2038mm"
"U28","TopLayer","DCU8","127.9626mm","49.1488mm"
"U29","TopLayer","DCU8","82.0826mm","49.2764mm"
"U30","TopLayer","DCU8","118.4122mm","49.1878mm"
"U31","TopLayer","DCU8","109.3242mm","49.1240mm"
"U32","TopLayer","DCU8","91.0613mm","49.4157mm"
"U33","TopLayer","DCU8","100.4062mm","49.4284mm"
"U34","TopLayer","D14","56.6434mm","35.0266mm"
"U35","TopLayer","DBV6","58.1914mm","10.9982mm"
"U36","TopLayer","15FL24-24W","105.1116mm","143.5862mm"
"U37","BottomLayer","DBV6","171.0182mm","27.9932mm"
"U38","TopLayer","DBV6","112.7760mm","31.1404mm"
"U39","TopLayer","DBV6","166.1160mm","41.9862mm"
"U40","TopLayer","DCU8","147.5512mm","49.2038mm"
"U200","TopLayer","AFBR-2644Z","23.9776mm","26.7210mm"
"Vdc","TopLayer","TP-L","190.0002mm","108.6612mm"
"Vdc + limit","TopLayer","TP-L","190.9866mm","72.4408mm"
"Voltage-Freq Level","TopLayer","TP-L","117.8306mm","39.7256mm"
"VR1","TopLayer","*TRIM_3266W-1-102LF","199.5678mm","12.5222mm"
"VR2","TopLayer","*TRIM_3266W-1-102LF","211.5058mm","74.5744mm"
"VR3","TopLayer","*TRIM_3266W-1-102LF","211.0486mm","61.8236mm"
"VR4","TopLayer","*TRIM_3266W-1-102LF","196.3674mm","70.9168mm"
"VR5","TopLayer","*TRIM_3266W-1-102LF","112.7252mm","35.8394mm"
"VR6","TopLayer","*TRIM_3266W-1-102LF","113.0046mm","22.0218mm"
